Time,Obstacle_X,Obstacle_Y,Obstacle_Theta
0.064,0.75,-0.25,3.142
0.128,0.749,-0.25,3.141
0.192,0.747,-0.25,-3.141
0.256,0.746,-0.25,3.141
0.32,0.745,-0.25,-3.141
0.384,0.743,-0.25,3.141
0.448,0.742,-0.25,-3.141
0.512,0.741,-0.25,3.141
0.5760000000000001,0.739,-0.25,-3.141
0.64,0.738,-0.25,3.141
0.704,0.736,-0.25,-3.142
0.768,0.735,-0.25,-3.141
0.8320000000000001,0.734,-0.25,3.142
0.896,0.732,-0.25,3.141
0.96,0.731,-0.25,-3.141
1.024,0.729,-0.25,3.141
1.088,0.728,-0.25,-3.141
1.1520000000000001,0.726,-0.25,3.141
1.216,0.725,-0.25,-3.142
1.28,0.723,-0.25,-3.141
1.344,0.722,-0.25,3.141
1.408,0.72,-0.25,-3.141
1.472,0.719,-0.25,3.142
1.536,0.717,-0.25,3.141
1.6,0.716,-0.25,-3.141
1.6640000000000001,0.714,-0.25,3.141
1.728,0.713,-0.25,-3.141
1.792,0.711,-0.25,3.141
1.856,0.71,-0.25,-3.141
1.92,0.708,-0.25,3.141
1.984,0.706,-0.25,-3.141
2.048,0.705,-0.25,3.141
2.112,0.703,-0.25,-3.142
2.176,0.702,-0.25,-3.141
2.24,0.7,-0.25,3.142
2.3040000000000003,0.698,-0.25,3.141
2.368,0.697,-0.25,-3.141
2.432,0.695,-0.25,3.141
2.496,0.693,-0.25,-3.141
2.56,0.692,-0.25,3.141
2.624,0.69,-0.25,-3.142
2.688,0.688,-0.25,-3.141
2.7520000000000002,0.686,-0.25,3.141
2.816,0.685,-0.25,-3.141
2.88,0.683,-0.25,3.142
2.944,0.681,-0.25,3.141
3.008,0.679,-0.25,-3.141
3.072,0.678,-0.25,3.141
3.136,0.676,-0.25,-3.141
3.2,0.674,-0.25,3.141
3.2640000000000002,0.672,-0.25,-3.141
3.3280000000000003,0.67,-0.25,3.141
3.392,0.669,-0.25,-3.141
3.456,0.667,-0.25,3.141
3.52,0.665,-0.25,-3.142
3.584,0.663,-0.25,-3.141
3.648,0.661,-0.25,3.142
3.712,0.659,-0.25,3.141
3.7760000000000002,0.658,-0.25,-3.141
3.84,0.656,-0.25,3.141
3.904,0.654,-0.25,-3.141
3.968,0.652,-0.25,3.141
4.032,0.65,-0.25,-3.142
4.096,0.648,-0.25,-3.141
4.16,0.646,-0.25,3.141
4.224,0.644,-0.25,-3.141
4.288,0.642,-0.25,3.142
4.352,0.64,-0.25,3.141
4.416,0.638,-0.25,-3.141
4.48,0.636,-0.25,3.141
4.5440000000000005,0.634,-0.25,-3.141
4.6080000000000005,0.632,-0.25,3.141
4.672,0.63,-0.25,-3.141
4.736,0.628,-0.25,3.141
4.8,0.626,-0.25,-3.141
4.864,0.624,-0.25,3.141
4.928,0.622,-0.25,-3.142
4.992,0.62,-0.25,-3.141
5.056,0.618,-0.25,3.142
5.12,0.616,-0.25,3.141
5.184,0.614,-0.25,-3.141
5.248,0.612,-0.25,3.141
5.312,0.61,-0.25,-3.141
5.376,0.608,-0.25,3.141
5.44,0.606,-0.25,-3.142
5.5040000000000004,0.604,-0.25,-3.141
5.5680000000000005,0.601,-0.25,3.141
5.632,0.599,-0.25,-3.141
5.696,0.597,-0.25,3.142
5.76,0.595,-0.25,3.141
5.824,0.593,-0.25,-3.141
5.888,0.591,-0.25,3.141
5.952,0.589,-0.25,-3.141
6.016,0.586,-0.25,3.141
6.08,0.584,-0.25,-3.141
6.144,0.582,-0.25,3.141
6.208,0.58,-0.25,-3.141
6.272,0.578,-0.25,3.141
6.336,0.575,-0.25,-3.142
6.4,0.573,-0.25,-3.141
6.464,0.571,-0.25,3.142
6.5280000000000005,0.569,-0.25,3.141
6.5920000000000005,0.566,-0.25,-3.141
6.656000000000001,0.564,-0.25,3.141
6.72,0.562,-0.25,-3.141
6.784,0.56,-0.25,3.141
6.848,0.557,-0.25,-3.142
6.912,0.555,-0.25,-3.141
6.976,0.553,-0.25,3.141
7.04,0.551,-0.25,-3.141
7.104,0.548,-0.25,3.142
7.168,0.546,-0.25,3.141
7.232,0.544,-0.25,-3.141
7.296,0.541,-0.25,3.141
7.36,0.539,-0.25,-3.141
7.424,0.537,-0.25,3.141
7.488,0.534,-0.25,-3.141
7.5520000000000005,0.532,-0.25,3.141
7.6160000000000005,0.53,-0.25,-3.141
7.68,0.527,-0.25,3.141
7.744,0.525,-0.25,-3.142
7.808,0.522,-0.25,-3.141
7.872,0.52,-0.25,3.142
7.936,0.518,-0.25,3.141
8.0,0.515,-0.25,-3.141
8.064,0.513,-0.25,3.141
8.128,0.51,-0.25,-3.141
8.192,0.508,-0.25,3.141
8.256,0.506,-0.25,-3.142
8.32,0.503,-0.25,-3.141
8.384,0.501,-0.25,3.141
8.448,0.498,-0.25,-3.141
8.512,0.496,-0.25,3.142
8.576,0.493,-0.25,3.141
8.64,0.491,-0.25,-3.141
8.704,0.488,-0.25,3.141
8.768,0.486,-0.25,-3.141
8.832,0.483,-0.25,3.141
8.896,0.481,-0.25,-3.141
8.96,0.478,-0.25,3.141
9.024000000000001,0.476,-0.25,-3.141
9.088000000000001,0.473,-0.25,3.141
9.152000000000001,0.471,-0.25,-3.142
9.216000000000001,0.468,-0.25,-3.141
9.28,0.466,-0.25,3.142
9.344,0.463,-0.25,3.141
9.408,0.461,-0.25,-3.141
9.472,0.458,-0.25,3.141
9.536,0.456,-0.25,-3.141
9.6,0.453,-0.25,3.141
9.664,0.45,-0.25,-3.142
9.728,0.448,-0.25,-3.141
9.792,0.445,-0.25,3.141
9.856,0.443,-0.25,-3.141
9.92,0.44,-0.25,3.142
9.984,0.438,-0.25,3.141
10.048,0.435,-0.25,-3.141
10.112,0.432,-0.25,3.141
10.176,0.43,-0.25,-3.141
10.24,0.427,-0.25,3.141
10.304,0.425,-0.25,-3.141
10.368,0.422,-0.25,3.141
10.432,0.419,-0.25,-3.141
10.496,0.417,-0.25,3.141
10.56,0.414,-0.25,-3.142
10.624,0.411,-0.25,-3.141
10.688,0.409,-0.25,3.142
10.752,0.406,-0.25,3.141
10.816,0.403,-0.25,-3.141
10.88,0.401,-0.25,3.141
10.944,0.398,-0.25,-3.141
11.008000000000001,0.395,-0.25,3.141
11.072000000000001,0.393,-0.25,-3.142
11.136000000000001,0.39,-0.25,-3.141
11.200000000000001,0.387,-0.25,3.141
11.264,0.385,-0.25,-3.141
11.328,0.382,-0.25,3.142
11.392,0.379,-0.25,3.141
11.456,0.377,-0.25,-3.141
11.52,0.374,-0.25,3.141
11.584,0.371,-0.25,-3.141
11.648,0.368,-0.25,3.141
11.712,0.366,-0.25,-3.141
11.776,0.363,-0.25,3.141
11.84,0.36,-0.25,-3.141
11.904,0.357,-0.25,3.141
11.968,0.355,-0.25,-3.142
12.032,0.352,-0.25,-3.141
12.096,0.349,-0.25,3.142
12.16,0.346,-0.25,3.141
12.224,0.344,-0.25,-3.141
12.288,0.341,-0.25,3.141
12.352,0.338,-0.25,-3.141
12.416,0.335,-0.25,3.141
12.48,0.333,-0.25,-3.142
12.544,0.33,-0.25,-3.141
12.608,0.327,-0.25,3.141
12.672,0.324,-0.25,-3.141
12.736,0.321,-0.25,3.142
12.8,0.319,-0.25,3.141
12.864,0.316,-0.25,-3.141
12.928,0.313,-0.25,3.141
12.992,0.31,-0.25,-3.141
13.056000000000001,0.307,-0.25,3.141
13.120000000000001,0.305,-0.25,-3.141
13.184000000000001,0.302,-0.25,3.141
13.248000000000001,0.299,-0.25,-3.141
13.312000000000001,0.296,-0.25,3.141
13.376,0.293,-0.25,-3.142
13.44,0.29,-0.25,-3.141
13.504,0.288,-0.25,3.142
13.568,0.285,-0.25,3.141
13.632,0.282,-0.25,-3.141
13.696,0.279,-0.25,3.141
13.76,0.276,-0.25,-3.141
13.824,0.273,-0.25,3.141
13.888,0.271,-0.25,-3.142
13.952,0.268,-0.25,-3.141
14.016,0.265,-0.25,3.141
14.08,0.262,-0.25,-3.141
14.144,0.259,-0.25,3.142
14.208,0.256,-0.25,3.141
14.272,0.253,-0.25,-3.141
14.336,0.251,-0.25,3.141
14.4,0.248,-0.25,-3.141
14.464,0.245,-0.25,3.141
14.528,0.242,-0.25,-3.141
14.592,0.239,-0.25,3.141
14.656,0.236,-0.25,-3.141
14.72,0.233,-0.25,3.141
14.784,0.23,-0.25,-3.142
14.848,0.227,-0.25,-3.141
14.912,0.225,-0.25,3.142
14.976,0.222,-0.25,3.141
15.040000000000001,0.219,-0.25,-3.141
15.104000000000001,0.216,-0.25,3.141
15.168000000000001,0.213,-0.25,-3.141
15.232000000000001,0.21,-0.25,3.141
15.296000000000001,0.207,-0.25,-3.142
15.36,0.204,-0.25,-3.141
15.424,0.201,-0.25,3.141
15.488,0.198,-0.25,-3.141
15.552,0.195,-0.25,3.142
15.616,0.193,-0.25,3.141
15.68,0.19,-0.25,-3.141
15.744,0.187,-0.25,3.141
15.808,0.184,-0.25,-3.141
15.872,0.181,-0.25,3.141
15.936,0.178,-0.25,-3.141
16.0,0.175,-0.25,3.141
16.064,0.172,-0.25,-3.141
16.128,0.169,-0.25,3.141
16.192,0.166,-0.25,-3.142
16.256,0.163,-0.25,-3.141
16.32,0.16,-0.25,3.142
16.384,0.157,-0.25,3.141
16.448,0.154,-0.25,-3.141
16.512,0.151,-0.25,3.141
16.576,0.149,-0.25,-3.141
16.64,0.146,-0.25,3.141
16.704,0.143,-0.25,-3.142
16.768,0.14,-0.25,-3.141
16.832,0.137,-0.25,3.142
16.896,0.134,-0.25,3.141
16.96,0.131,-0.25,-3.141
17.024,0.128,-0.25,3.141
17.088,0.125,-0.25,-3.141
17.152,0.122,-0.25,3.141
17.216,0.119,-0.25,-3.142
17.28,0.116,-0.25,-3.141
17.344,0.113,-0.25,3.141
17.408,0.11,-0.25,-3.141
17.472,0.107,-0.25,3.142
17.536,0.104,-0.25,3.141
17.6,0.101,-0.25,-3.141
17.664,0.098,-0.25,3.141
17.728,0.095,-0.25,-3.141
17.792,0.092,-0.25,3.141
17.856,0.089,-0.25,-3.141
17.92,0.086,-0.25,3.141
17.984,0.083,-0.25,-3.141
18.048000000000002,0.081,-0.25,3.141
18.112000000000002,0.078,-0.25,-3.142
18.176000000000002,0.075,-0.25,-3.141
18.240000000000002,0.072,-0.25,3.142
18.304000000000002,0.069,-0.25,3.141
18.368000000000002,0.066,-0.25,-3.141
18.432000000000002,0.063,-0.25,3.141
18.496,0.06,-0.25,-3.141
18.56,0.057,-0.25,3.141
18.624,0.054,-0.25,-3.142
18.688,0.051,-0.25,-3.141
18.752,0.048,-0.25,3.141
18.816,0.045,-0.25,-3.141
18.88,0.042,-0.25,3.142
18.944,0.039,-0.25,3.141
19.008,0.036,-0.25,-3.141
19.072,0.033,-0.25,3.141
19.136,0.03,-0.25,-3.141
19.2,0.027,-0.25,3.141
19.264,0.024,-0.25,-3.141
19.328,0.021,-0.25,3.141
19.392,0.018,-0.25,-3.141
19.456,0.015,-0.25,3.141
19.52,0.012,-0.25,-3.142
19.584,0.009,-0.25,-3.141
19.648,0.006,-0.25,3.142
19.712,0.003,-0.25,3.141
19.776,0.0,-0.25,-3.141
19.84,-0.003,-0.25,3.141
19.904,-0.006,-0.25,-3.141
19.968,-0.008,-0.25,3.141
20.032,-0.011,-0.25,-3.142
20.096,-0.014,-0.25,-3.141
20.16,-0.017,-0.25,3.141
20.224,-0.02,-0.25,-3.141
20.288,-0.023,-0.25,3.142
20.352,-0.026,-0.25,3.141
20.416,-0.029,-0.25,-3.141
20.48,-0.032,-0.25,3.141
20.544,-0.035,-0.25,-3.141
20.608,-0.038,-0.25,3.141
20.672,-0.041,-0.25,-3.141
20.736,-0.044,-0.25,3.141
20.8,-0.047,-0.25,-3.141
20.864,-0.05,-0.25,3.141
20.928,-0.053,-0.25,-3.142
20.992,-0.056,-0.25,-3.141
21.056,-0.059,-0.25,3.142
21.12,-0.062,-0.25,3.141
21.184,-0.065,-0.25,-3.141
21.248,-0.068,-0.25,3.141
21.312,-0.07,-0.25,-3.141
21.376,-0.073,-0.25,3.141
21.44,-0.076,-0.25,-3.142
21.504,-0.079,-0.25,-3.141
21.568,-0.082,-0.25,3.141
21.632,-0.085,-0.25,-3.141
21.696,-0.088,-0.25,3.142
21.76,-0.091,-0.25,3.141
21.824,-0.094,-0.25,-3.141
21.888,-0.097,-0.25,3.141
21.952,-0.1,-0.25,-3.141
22.016000000000002,-0.103,-0.25,3.141
22.080000000000002,-0.106,-0.25,-3.141
22.144000000000002,-0.109,-0.25,3.141
22.208000000000002,-0.111,-0.25,-3.141
22.272000000000002,-0.114,-0.25,3.141
22.336000000000002,-0.117,-0.25,-3.142
22.400000000000002,-0.12,-0.25,-3.141
22.464000000000002,-0.123,-0.25,3.142
22.528,-0.126,-0.25,3.141
22.592,-0.129,-0.25,-3.141
22.656,-0.132,-0.25,3.141
22.72,-0.135,-0.25,-3.141
22.784,-0.138,-0.25,3.141
22.848,-0.14,-0.25,-3.142
22.912,-0.143,-0.25,-3.141
22.976,-0.146,-0.25,3.141
23.04,-0.149,-0.25,-3.141
23.104,-0.152,-0.25,3.142
23.168,-0.155,-0.25,3.141
23.232,-0.158,-0.25,-3.141
23.296,-0.161,-0.25,3.141
23.36,-0.164,-0.25,-3.141
23.424,-0.166,-0.25,3.141
23.488,-0.169,-0.25,-3.141
23.552,-0.172,-0.25,3.141
23.616,-0.175,-0.25,-3.141
23.68,-0.178,-0.25,3.141
23.744,-0.181,-0.25,-3.142
23.808,-0.184,-0.25,-3.141
23.872,-0.186,-0.25,3.142
23.936,-0.189,-0.25,3.141
24.0,-0.192,-0.25,-3.141
24.064,-0.195,-0.25,3.141
24.128,-0.198,-0.25,-3.141
24.192,-0.201,-0.25,3.141
24.256,-0.204,-0.25,-3.142
24.32,-0.206,-0.25,-3.141
24.384,-0.209,-0.25,3.141
24.448,-0.212,-0.25,-3.141
24.512,-0.215,-0.25,3.142
24.576,-0.218,-0.25,3.141
24.64,-0.22,-0.25,-3.141
24.704,-0.223,-0.25,3.141
24.768,-0.226,-0.25,-3.141
24.832,-0.229,-0.25,3.141
24.896,-0.232,-0.25,-3.141
24.96,-0.235,-0.25,3.141
25.024,-0.237,-0.25,-3.141
25.088,-0.24,-0.25,3.141
25.152,-0.243,-0.25,-3.142
25.216,-0.246,-0.25,-3.141
25.28,-0.246,-0.25,2.856
25.344,-0.247,-0.25,2.593
25.408,-0.248,-0.249,2.353
25.472,-0.248,-0.249,2.353
25.536,-0.248,-0.249,2.353
25.6,-0.248,-0.249,2.353
25.664,-0.248,-0.249,2.353
25.728,-0.248,-0.249,2.353
25.792,-0.246,-0.25,2.307
25.856,-0.245,-0.252,2.111
25.92,-0.245,-0.252,2.094
25.984,-0.245,-0.252,2.094
26.048000000000002,-0.245,-0.252,2.094
26.112000000000002,-0.245,-0.252,2.094
26.176000000000002,-0.245,-0.252,1.954
26.240000000000002,-0.244,-0.252,1.904
26.304000000000002,-0.244,-0.252,1.904
26.368000000000002,-0.244,-0.252,1.904
26.432000000000002,-0.244,-0.252,1.904
26.496000000000002,-0.244,-0.252,1.765
26.560000000000002,-0.244,-0.252,1.765
26.624000000000002,-0.244,-0.252,1.765
26.688,-0.244,-0.253,1.743
26.752,-0.244,-0.252,1.61
26.816,-0.244,-0.252,1.61
26.88,-0.244,-0.252,1.61
26.944,-0.244,-0.253,1.573
27.008,-0.244,-0.255,1.444
27.072,-0.245,-0.257,1.383
27.136,-0.245,-0.258,1.358
27.2,-0.246,-0.259,1.314
27.264,-0.247,-0.26,1.253
27.328,-0.247,-0.261,1.206
27.392,-0.248,-0.262,1.171
27.456,-0.248,-0.263,1.144
27.52,-0.248,-0.264,1.127
27.584,-0.248,-0.263,1.07
27.648,-0.247,-0.261,0.997
27.712,-0.246,-0.261,1.014
27.776,-0.246,-0.259,1.007
27.84,-0.243,-0.256,0.903
27.904,-0.24,-0.252,0.863
27.968,-0.237,-0.249,0.847
28.032,-0.234,-0.245,0.852
28.096,-0.231,-0.242,0.873
28.16,-0.228,-0.238,0.906
28.224,-0.225,-0.235,0.947
28.288,-0.223,-0.231,0.994
28.352,-0.22,-0.227,1.044
28.416,-0.218,-0.223,1.096
28.48,-0.216,-0.218,1.148
28.544,-0.214,-0.214,1.201
28.608,-0.213,-0.21,1.253
28.672,-0.211,-0.206,1.301
28.736,-0.21,-0.201,1.345
28.8,-0.209,-0.197,1.385
28.864,-0.208,-0.192,1.419
28.928,-0.208,-0.187,1.451
28.992,-0.207,-0.183,1.479
29.056,-0.207,-0.178,1.505
29.12,-0.207,-0.173,1.526
29.184,-0.206,-0.169,1.544
29.248,-0.206,-0.164,1.56
29.312,-0.206,-0.159,1.573
29.376,-0.206,-0.154,1.585
29.44,-0.206,-0.15,1.595
29.504,-0.207,-0.145,1.603
29.568,-0.207,-0.14,1.61
29.632,-0.207,-0.135,1.615
29.696,-0.207,-0.13,1.62
29.76,-0.207,-0.126,1.623
29.824,-0.208,-0.121,1.626
29.888,-0.208,-0.116,1.628
29.952,-0.208,-0.111,1.629
30.016000000000002,-0.208,-0.106,1.629
30.080000000000002,-0.209,-0.102,1.63
30.144000000000002,-0.209,-0.097,1.63
30.208000000000002,-0.209,-0.092,1.63
30.272000000000002,-0.21,-0.087,1.629
30.336000000000002,-0.21,-0.082,1.629
30.400000000000002,-0.21,-0.077,1.628
30.464000000000002,-0.21,-0.073,1.627
30.528000000000002,-0.211,-0.068,1.627
30.592000000000002,-0.211,-0.063,1.626
30.656000000000002,-0.211,-0.058,1.625
30.72,-0.211,-0.053,1.624
30.784,-0.212,-0.048,1.624
30.848,-0.212,-0.043,1.623
30.912,-0.212,-0.039,1.622
30.976,-0.212,-0.034,1.622
31.04,-0.213,-0.029,1.622
31.104,-0.213,-0.024,1.621
31.168,-0.213,-0.019,1.62
31.232,-0.213,-0.014,1.62
31.296,-0.214,-0.009,1.62
31.36,-0.214,-0.004,1.62
31.424,-0.214,0.001,1.619
31.488,-0.214,0.005,1.619
31.552,-0.215,0.01,1.619
31.616,-0.215,0.015,1.619
31.68,-0.215,0.02,1.619
31.744,-0.215,0.025,1.619
31.808,-0.216,0.03,1.619
31.872,-0.216,0.035,1.618
31.936,-0.216,0.04,1.618
32.0,-0.216,0.045,1.618
32.064,-0.217,0.05,1.619
32.128,-0.217,0.055,1.618
32.192,-0.217,0.06,1.618
32.256,-0.217,0.065,1.618
32.32,-0.218,0.069,1.619
32.384,-0.218,0.074,1.618
32.448,-0.218,0.079,1.618
32.512,-0.218,0.084,1.618
32.576,-0.218,0.089,1.618
32.64,-0.219,0.094,1.619
32.704,-0.219,0.099,1.618
32.768,-0.219,0.104,1.619
32.832,-0.219,0.109,1.618
32.896,-0.22,0.114,1.619
32.96,-0.22,0.119,1.618
33.024,-0.22,0.124,1.619
33.088,-0.22,0.129,1.618
33.152,-0.221,0.134,1.619
33.216,-0.221,0.139,1.618
33.28,-0.221,0.144,1.618
33.344,-0.221,0.149,1.619
33.408,-0.222,0.154,1.619
33.472,-0.222,0.159,1.618
33.536,-0.222,0.164,1.618
33.6,-0.222,0.169,1.618
33.664,-0.222,0.174,1.619
33.728,-0.223,0.179,1.619
33.792,-0.223,0.184,1.618
33.856,-0.223,0.189,1.619
33.92,-0.223,0.194,1.619
33.984,-0.224,0.199,1.619
34.048,-0.224,0.204,1.618
34.112,-0.224,0.209,1.619
34.176,-0.224,0.214,1.618
34.24,-0.225,0.219,1.619
34.304,-0.225,0.224,1.618
34.368,-0.225,0.229,1.619
34.432,-0.225,0.233,1.618
34.496,-0.226,0.238,1.619
34.56,-0.226,0.243,1.618
34.624,-0.226,0.248,1.618
34.688,-0.226,0.253,1.619
34.752,-0.227,0.258,1.619
34.816,-0.227,0.263,1.618
34.88,-0.227,0.268,1.618
34.944,-0.227,0.273,1.618
35.008,-0.227,0.278,1.619
35.072,-0.228,0.283,1.619
35.136,-0.228,0.288,1.618
35.2,-0.228,0.293,1.618
35.264,-0.228,0.298,1.619
35.328,-0.229,0.303,1.619
35.392,-0.229,0.308,1.618
35.456,-0.229,0.313,1.619
35.52,-0.229,0.318,1.619
35.584,-0.23,0.323,1.619
35.648,-0.23,0.328,1.618
35.712,-0.23,0.333,1.618
35.776,-0.23,0.338,1.619
35.84,-0.231,0.343,1.619
35.904,-0.231,0.348,1.618
35.968,-0.231,0.353,1.618
36.032000000000004,-0.231,0.358,1.618
36.096000000000004,-0.232,0.363,1.619
36.160000000000004,-0.232,0.368,1.618
36.224000000000004,-0.232,0.373,1.618
36.288000000000004,-0.232,0.378,1.618
36.352000000000004,-0.232,0.383,1.619
36.416000000000004,-0.233,0.388,1.619
36.480000000000004,-0.233,0.393,1.618
36.544000000000004,-0.233,0.398,1.619
36.608000000000004,-0.233,0.403,1.619
36.672000000000004,-0.234,0.408,1.619
36.736000000000004,-0.234,0.413,1.618
36.800000000000004,-0.234,0.418,1.618
36.864000000000004,-0.234,0.423,1.619
36.928,-0.235,0.428,1.619
36.992,-0.235,0.432,1.618
37.056,-0.235,0.437,1.618
37.12,-0.235,0.442,1.619
37.184,-0.236,0.447,1.619
37.248,-0.236,0.452,1.618
37.312,-0.236,0.457,1.618
37.376,-0.236,0.462,1.618
37.44,-0.236,0.467,1.619
37.504,-0.237,0.472,1.619
37.568,-0.237,0.477,1.618
37.632,-0.237,0.482,1.619
37.696,-0.237,0.487,1.619
37.76,-0.238,0.492,1.619
37.824,-0.238,0.497,1.619
37.888,-0.238,0.501,1.618
37.952,-0.238,0.506,1.619
38.016,-0.239,0.511,1.619
38.08,-0.239,0.516,1.618
38.144,-0.239,0.521,1.618
38.208,-0.239,0.526,1.619
38.272,-0.24,0.531,1.619
38.336,-0.24,0.536,1.618
38.4,-0.24,0.541,1.618
38.464,-0.24,0.545,1.618
38.528,-0.24,0.55,1.619
38.592,-0.241,0.555,1.619
38.656,-0.241,0.56,1.618
38.72,-0.241,0.565,1.618
38.784,-0.241,0.57,1.619
38.848,-0.242,0.575,1.62
38.912,-0.242,0.58,1.618
38.976,-0.242,0.584,1.618
39.04,-0.242,0.589,1.619
39.104,-0.243,0.594,1.619
39.168,-0.243,0.599,1.618
39.232,-0.243,0.604,1.618
39.296,-0.243,0.609,1.618
39.36,-0.243,0.613,1.619
39.424,-0.244,0.618,1.62
39.488,-0.244,0.623,1.618
39.552,-0.244,0.628,1.618
39.616,-0.244,0.633,1.619
39.68,-0.245,0.637,1.62
39.744,-0.245,0.642,1.618
39.808,-0.245,0.647,1.618
39.872,-0.245,0.652,1.619
39.936,-0.246,0.657,1.62
40.0,-0.246,0.661,1.617
40.064,-0.246,0.666,1.617
40.128,-0.246,0.671,1.618
40.192,-0.246,0.676,1.619
40.256,-0.247,0.68,1.621
40.32,-0.247,0.685,1.617
40.384,-0.247,0.69,1.618
40.448,-0.247,0.695,1.619
40.512,-0.248,0.699,1.621
40.576,-0.248,0.704,1.616
40.64,-0.248,0.709,1.617
40.704,-0.248,0.714,1.618
40.768,-0.248,0.718,1.621
40.832,-0.249,0.723,1.625
40.896,-0.249,0.728,1.617
40.96,-0.249,0.732,1.619
41.024,-0.249,0.737,1.622
41.088,-0.25,0.742,1.632
41.152,-0.25,0.746,1.604
41.216,-0.25,0.746,1.318
41.28,-0.249,0.749,1.109
41.344,-0.25,0.748,1.109
41.408,-0.25,0.748,1.104
41.472,-0.25,0.748,1.103
41.536,-0.25,0.748,1.102
41.6,-0.248,0.75,0.955
41.664,-0.247,0.751,0.767
41.728,-0.247,0.751,0.767
41.792,-0.247,0.751,0.767
41.856,-0.247,0.751,0.767
41.92,-0.247,0.75,0.742
41.984,-0.247,0.751,0.49
42.048,-0.247,0.751,0.49
42.112,-0.247,0.751,0.49
42.176,-0.247,0.751,0.49
42.24,-0.247,0.751,0.489
